Restaurent name,Cuisine types,Rating,Price,Distance,Location,what_people_like_about_us
Piazza Pizza By Little Italy,Pizza,3.9,₹200 for two,2.5,"Tajganj, Agra","Staff, Flavorful Creations, Attentive Service"
Marleys  The Milkshake,"Beverages, Desserts, Ice Cream, Shake, Burger, Sandwich",3.7,₹400 for two,3.7,"Tajganj, Agra","Good Music, Courteous Staff, Sustainable Practices"
Molecule Air Bar,"North Indian, Chinese, Continental, Italian",4.6,"₹2,000 for two",4.8,"Tajganj, Agra","Courteous Staff, Cozy Ambiance, Friendly Staff"
The Salt Cafe Kitchen & Bar,"North Indian, Continental, Chinese, Italian, Finger Food",4.9,"₹1,800 for two",3.8,"Tajganj, Agra","Weekend Brunch, Sophisticated, Flavorful Creations"
Palm Burj,"North Indian, Chinese, Continental, Sushi, Sichuan, Beverages, Desserts",4.5,"₹2,200 for two",1.9,"Rakabganj, Agra","Main Course, Customizable Dishes, Cozy Ambiance"
Unplugged Courtyard,"Mediterranean, North Indian, Continental, Chinese, Mexican, Thai, Italian, Coffee",4.4,"₹1,600 for two",4.8,"Tajganj, Agra","Ambience, Local Sourcing, Brewed Beer"
Hichkee,"Continental, North Indian, Chinese",4.2,"₹1,700 for two",1.2,"Civil Lines, Agra","Authentic Flavors, Young Crowd, Impeccable Presentation"
The Numberdaars,"Chinese, North Indian, Biryani, Mughlai, Kebab, Salad, Desserts, Beverages",4.0,₹800 for two,6.8,"Sikandra, Agra","Local Sourcing, Peaceful Ambience, Satisfying Portions"
Barbeque Nation,"North Indian, BBQ, Biryani, Kebab, Continental, Chinese, Beverages, Desserts",4.4,"₹1,550 for two",2.5,"Civil Lines, Agra","Impeccable Presentation, Main Course, Exquisite Taste"
The Nawaabs,"Mughlai, North Indian, Biryani, Kebab, Beverages",4.3,"₹1,100 for two",2.7,"Tajganj, Agra","Local Sourcing, Quantity, Young Crowd"
Oasis - Radisson Hotel Agra,"North Indian, Continental, Beverages",4.1,"₹2,700 for two",4.1,"Radisson Hotel Agra, Tajganj, Agra","Friendly Staff, Staff, Good Bartenders"
Biryani By Kilo,"Biryani, Hyderabadi, Kebab, North Indian, Ice Cream, Desserts",4.4,"₹1,000 for two",3.0,"Civil Lines, Agra","Efficient Service, Quantity, Cozy Ambiance"
Masala Bistro,"Chinese, North Indian, Rolls, Kebab, Fast Food",3.7,₹350 for two,2.8,"Tajganj, Agra","Creative Cuisine, Memorable Experience, Authentic Flavors"
Cafe G - Holiday Inn,"North Indian, Continental, South Indian, Chinese, Asian, Italian",4.4,"₹3,000 for two",2.6,"Civil Lines, Agra","Hospitable Staff, Sustainable Practices, Authentic Flavors"
